Cocktail,Ingredients,Preparation,Bar/Company,Location
Coco Batida,"1 Coconut milk, 1 Condensed milk, Ypiòca, 1 Tbsp Sugar","Put 1 1/2 ounces of coconut milk, 1 1/2 ounces of condensed milk, 3 ounces of Ypiòca and tablespoon of sugar in a blender. Mix for a few seconds. Add ice cubes and serve.",,
Orange Batida,"2 Orange Juice, 1 Ypiòca, 1-2 Tbsp Sugar","Put 1 1/2 ounces, 2 1/2 ounces orange juice, and 1-2 tablespoons of sugar in a shaker. Add ice cubes and shake for a few seconds. Put in glass and serve.",,
Passion Fruit Batida,"1-2 Tbsp Sugar, 1 Ypiòca,   Passion fruit","Put 1/2 passion fruit inner part in a blender, 1-2 tablespoons of sugar and 50ml ( 1 1/2 ounces) of Ypiòca. Mix for a few seconds. Filter in a glass and serve with ice.",,
Peach Batida," Peach Juice, 1 Condensed milk, 1 Ypiòca , 1 Tbsp Sugar ","Put 3 ounces of peach juice, 1 1/2 ounces of Ypiòca, 1 1/2 ounces of condensed milk and 1 tablespoon of sugar in a shaker. Add ice cubes, shake well and serve.",,
Karlsson's Old Fashioned," Karlsson's Gold Vodka, 1 cube Brown sugar, Bitter",Put a brown sugar cube at the bottom of a frosted glass. Add a splash of bitter and muddle the sugar. Add Karlsson's Gold Vodka and stir with ice. Add lemon and orange peels (which you can burn for added flavor).,,
Gold Rush,"3  Basil Leaves, Karlsson's Gold Vodka,  Pineapple Juice,  Simple Syrup,  Sweet Vermouth,  Lime Juice ,  Egg White, Angostura Bitters","Put basil leaves in mixing glass. Gently muddle the leaves. Add all ingredients except the bitters or ice. Dry shake the cocktail vigorously. Add the ice and shake again vigorously. Double strain into a coupe. Add a few drops of angostura on top, add cracked pepper, slap one single basil leaf on top for garnish.",Southside Spirit House,San Francisco
The Improved Sazerac," H by HINE,  Luxardo Maraschino Liqueur,  Simple Syrup (1:1), Peychaud's Bitters, Angostura Bitters,  rinse Vieux Pontarlier Absinthe Francaise Superieure",Put ingredients in mixing glass. Stir. Strain into glass that has absinthe rinse. Add lemon zest.,,
Luxardo Fresco," Luxardo Maraschino Liqueur, 1 strip Cucumber, Lemon Juice,  top Tonic",Quick stir and garnish with rosemary.,,
Stranger in the Alps," rinse Eau de Vie, Junipero Gin, Carpano Antica,  Campari,  Braulio Amaro, 1 pinch Salt","Rinse a rocks glass with eau de vie. Combine remaining ingredients in a shaker with ice. Shake, and strain over fresh ice into a rocks glass. Garnish with a lemon pigtail.",,
Corpse Reviver No.2," No.3 London Dry Gin,  Tempus Fugit Kina L'Aero d'Or,  The Genuine Curacao Liqueur Clear,  Lemon Juice,  rinse Vieux Pontarlier Absinthe Francaise Superieure",Rinse cocktail glass with Vieux Pontarlier Absinthe. Shake rest with ice and strain.,,
Sazerac," Vieux Pontarlier Absinthe Francaise Superieure, H by HINE, Tempus Fugit Abbott's Bitters, Sugar","Rinse entire glass with absinthe, discard, if you must. Stir with ice and strain into an old-fashion glass, garnish with lemon peel.",,
The Last Marasca," Gin, Luxardo Maraschino Liqueur, Luxardo Orgeat Syrup, Lemon Juice, Absinthe","Rinse glass with absinthe. Add a Luxardo Cherry (covered in its juice) to a mixing glass with remaining ingredients. Stir until cold and slightly rose colored. Single strain, serve with cherry from mixing glass.",,
Seersucker Sunshine," Luxardo Bitter Bianco, Seersucker Gin,  Lillet Blanc, Sauternes, Orange Blossom Water","Rinse the glass with Orange Blossom Water and pour cocktail. Shake Egg White, Sauternes and Lemon Juice vigorously dry for 25 seconds, then add ice, gin, Luxardo Bitter Bianco and Lillet Blanc, shake again for 10 seconds. Strain into Nick & Nora, garnish with a lemon wheel.",,Houston
Bubbleliciously Delicious," Luxardo Fernet, Luxardo Triplum (Triple Sec), Angostura bitters, 2 slices Satsuma slices, Sioux City Sarsparilla Soda",Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,,New Orleans
Wooster 53," No.3 London Dry Gin,  Grapefruit Juice,  Ginger/Cardamom/Honey Syrup*,  Lime Juice,  float Tonic Water","Serve in a champagne flute up to 60% full and top with tonic water up to 80% full, garnish with a grapefruit twist.  *Ginger/Cardamom/Honey Syrup: Bring about 8 cups of water to a boil, once boiling turn off heat and add 2 cups of cardamom pods. Let sit for about 6 hours. Strain the pods out, add 1 qt (32 oz) of honey and stir until dissolved. For an added cardamom boost: place the cardamom pods with the cardamom/honey ""tea"" in a blender. Blend and press through a fine strainer so as to discard the solids but keep the flavor.",Cocteleria,New York
The King's Mulled Cider," King's Ginger Liqueur, Hard Apple Cider, Fresh Apple Juice","Serve in a handled glass, hot or over ice. Garnish with lemon, cinnamon stick and fresh blackberries.",,
Mango No. 3," No.3 London Dry Gin,  Lemon Juice,  Serrano Pepper Syrup*, Mango Juice, Angostura Bitters","Serve in a julep cup with crushed ice and basil garnish.  *Serrano Pepper Syrup: Take 6 serrano peppers. Slice 4 in half, carefully de-vein and seed them (this will take some of the heat away, make absolutely sure to wash your hands after handling the peppers, avoid touching anything unless you've washed your hands), place a skillet on medium to high heat and roast the peppers until they are a little charred. Once charred place in a blender with about 2 cups of water and throw in the 2 remaining fresh serranos (seeds and all). Blend and strain out the solids. Add 1 cup of demarara sugar to the serrano pepper water and stir until it is dissolved.",Cocteleria,New York
Vintage Reserve Sour," Glenrothes Vintage Reserve,  Lemon Juice, Simple Syrup",Serve in a rocks glass with an orange peel garnish and a Luxardo Cherry.,,
The King's Queen," King's Ginger Liqueur, Fresh lime, 1 slice Fresh ginger, 4 strawberries Strawberries(muddled)",Serve in a tall glass over ice.,,
The Rusty Tack," King's Ginger Liqueur, Glenrothes Vintage Reserve",Serve neat or on the rocks.,,
Space Age Pop,"1 Chinaco Reposado, Luxardo Amaro Abano, Luxardo Maraschino Liqueur, Fresh Lemon Juice",Serve on one big rock.,Drink,Boston
The House of Duncan," Glenrothes Vintage Reserve,  Luxardo Sangue Morlacco Cherry Liqueur,  King's Ginger Liqueur, Angostura Bitters",Serve on the rocks. Garnish with a Luxardo Cherry.,,Austin
The King and Tonic," King's Ginger Liqueur, Fever-Tree Tonic Water, Angostura Bitters",Serve over ice in a collins glass.,,
Big and Bright," No.3 London Dry Gin,  King's Ginger Liqueur, Fresh grapefruit juice,  Honey,  Fresh lime juice , Fire and Damnation bitters, Club soda",Serve tall on the rocks.,,Austin
Bakko & Zengo," Nikka Coffey Grain Whisky,  House-made Allspice Dram,  Heavy Cream,  Simple Syrup, 1  Whole Egg, Chocolate Bitters",Served in a snifter with grated cinnamon.,Pabu,San Francisco
Tamaulipas Margarita," Chinaco Blanco Tequila, Fresh Lime Juice, Agave Nectar","Served in v-shaped rocks glass with ""vintage ice"". ",,
Long Island Limoncello Martini," Hangar 1 Buddha's Hand Citron Vodka, Luxardo Limoncello,  Fresh Lemon Juice,  Monin Cane Syrup",Served up and finished with a lemon wheel.,Grimaldi's Pizzeria,
Endless Summer," Ypioca Brasilizar Cachaca Prata Reserva Especial,  Luxardo Bitter,  Luxardo Maraschino Liqueur,  Lemon Juice, Lemon Bitters",Served up in a coupe glass.,Surfcomber,Miami
"Yes, Queen!"," H by HINE, Dolin Dry Vermouth,  Giffard Banane du Brésil,  Honey Syrup",Served up with a lemon peel garnish.,"Rob Roy, The Hideout",Seattle
Northern Hemisphere (Nikka 12 Edition)," Nikka Whisky Taketsuru Pure Malt 12 YO, English Harbour Rum,  The Genuine Curacao Liqueur Clear,  Lemon Juice,  Pineapple Juice,  Grenadine*",Shake - pebble/crushed ice,Momofuku,
Italian Riviera Mojito," Coconut Rum,  Funkin Passion Fruit Puree,  Briottet Creme de Banane,  Fresh squeezed lime, 8 leaves Mint Leaves","Shake & Dump into Collins Glass, Top with Prosecco, cap with crushed ice. Garnish with Mint Sprig.  ",Land and Water Co.,Carlsbad
On the Fritz," Junipero Gin,  Chateau de Montifaud Pineau des Charentes Blanc,  Lemon Verbena Cordial*,  Lemon Juice,  top Mixwell Young Ginger Ale",Shake all ingredients and double strain over fresh ice. Garnish with lemon verbena leaf.  *Lemon Verbena Cordial: -- Fresh Lemon Verbena  -- Fresh Mint -- Grapefruit Peel  -- Lemon Peel -- Pure Cane Sugar -- Citric Acid  Make a fresh herb and citrus peel tea and add sugar and citric acid to taste. Let cool before using.,Jupiter Olympus,San Francisco
Bajo Control," BarSol Perfecto Amor (Aperitif Wine), Dolin Dry Vermouth,  Lemon Juice,  Agave Syrup","Shake all ingredients and double strain. Serve in a hurricane glass, add 2 oz Lager. Garnish with an orange horse-neck peel.",The Commissary,
Cock-tail," Junipero Gin,  Tempus Fugit Alessio Vermouth di Torino Rosso,  Drambuie,  Rich Brown Sugar Simple Syrup*, 4  Large Pieces Candied Ginger, Angostura Bitters","Shake all ingredients and strain into a coupe glass. Express a lemon peel over the drink and discard.  *Rich Brown Sugar Simple Syrup:  -- 2 cups Brown Sugar -- 1 cup Water  Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",The Devil's Acre,San Francisco
Tea Party Cocktail," No.3 London Dry Gin,  King's Ginger Liqueur,  Orange marmalade syrup,  Lemon juice, Bergamot tea foam","Shake all ingredients except foam, strain into chilled cocktail ""coupe"". Layer foam onto cocktail. Add garnish.",,San Francisco
Delicious in Mauritius," Pink Pigeon Rum,  White peach puree,  Hibiscus syrup,  Lemon juice,  Ginger ale","Shake all ingredients except ginger ale, then strain into chilled cocktail ""coupe"" glass. Float ginger ale and zest of fresh lemon.",,San Francisco
Oaxacan Martini," Mezcal,  Mandarine Napoleon,  Lime Juice, Castelvetrano Olive Brine, Fennel Bitters",Shake all ingredients for 10-15 seconds (over shaking will over dilute) and fine strain into chilled coupe glass. Garnish with Xoconostle (sour prickly pear) and a stuffed Castelvetrano olive.,Cala,San Francisco
Geaux Geaux Cup," Junipero Gin, Maurin Quina,  Fresh Lemon,  Pages Elderflower Syrup,  top Ginger Ale","Shake all ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with a splash of ginger ale. Garnish with a cucumber slice, quartered.",Jazz Kitchen ,New Orleans
Creole Cobbler," Junipero Gin, 1 Sathenay Crème de Peche, Fresh Lemon Juice,  oz 2 Dashes Orange Bitters","Shake all ingredients in an ice-filled cocktail shaker. Strain, and Serve.",Jazz Kitchen,New Orleans
7th Heaven ," No.3 London Dry Gin,  Luxardo Maraschino Liqueur, Grapefruit juice,  Pages Elderflower Syrup, Angostura bitters",Shake all ingredients in an iced-filled cocktail shaker. Strain into chilled martini glass or cocktail coupe.,,
Amaretto Sourball," Vodka, Luxardo Amaretto di Saschira, Lemon Juice, Orange Juice","Shake all ingredients together with ice in a cocktail shaker. Strain into a small old-fashioned glass, and serve.",,
Santa Patricia," Blanco Tequila,  Dry Curacao,  Luxardo Bitter,  Fresh Ruby Red Grapefruit Juice ,  Cinnamon Syrup ",Shake all ingredients very well with ice and strain over ice into a highball glass.,,
Banana's Froster," Junipero Gin, Briottet Creme de Banane,  Cream (Half & Half), Chocolate Bitters","Shake all ingredients vigorously with lots of ice in a shaker. Strain, and Serve. Garnish with a fresh mint sprig.",Jazz Kitchen,New Orleans
P.T. Barnum Cocktail," No.3 London Dry Gin,  Luxardo Apricot Liqueur,  Fresh Lemon Juice , Angostura bitters",Shake all ingredients well in cocktail shaker. Strain into chilled martini glass or cocktail coupe.,,
No.3 Bramble," No.3 London Dry Gin,  Fresh Lemon Juice,  Briottet Creme de Mure (Blackberry),  Pages Elderflower Syrup, Angostura bitters (optional)",Shake all ingredients well in cocktail shaker. Strain into ice filled rock glass. Top with soda.,,
Tahitian Fix," BarSol Selecto Italia Pisco,  Fresh Lemon Juice,  Vanilla Agave Nectar,  Pineapple Gomme Syrup, Seltzer Water",Shake all ingredients with ice and fine strain into Collins glass. Top with seltzer water and add lavender blossom garnish.,Maven,San Francisco
Pisco Punch (Adaptation by The Commissary)," BarSol Selecto Italia Pisco, Lemon Juice,  Small Hand Foods Pineapple Gum Syrup,  Falernum",Shake all ingredients with ice and strain into a coupe glass. Nutmeg on top for garnish.,The Commissary,
The King Merlet Sidecar," H by HINE,  Luxardo Triplum (Triple Sec),  King's Ginger Liqueur,  Fresh Lemon Juice, Pressed Apple Juice",Shake all ingredients with ice and strain into an iced up glass with brown sugar rim.,,San Francisco
3AM," No.3 London Dry Gin,  H by HINE,  Luxardo Triplum (Triple Sec),  King's Ginger Liqueur,  Fresh Lime Juice",Shake all ingredients with ice and strain into an iced up glass.,,San Francisco
Apricot Lady," Light Rum, Luxardo Apricot Liqueur,  Triple Sec, 1 Tbsp Lime Juice, 1  Egg White",Shake all ingredients with ice and strain into old fashioned glass over ice cubes. Add an orange slice.,,
Essence No.5 (Adapted)," No.3 London Dry Gin,  Luxardo Triplum (Triple Sec),  Lavander syrup, Fresh lime juice, 4  Raspberries",Shake all ingredients with ice then double strain into a chilled cocktail glass. Garnish with channeled lemon and raspberry on the rim.,,
Last Word," Luxardo Maraschino Liqueur,  Junipero Gin,  Green Chartreuse,  Fresh Lime Juice",Shake all ingredients with ice then strain into a chilled cocktail glass.,,
White Lady (Classic) (Adapted)," No.3 London Dry Gin,  Luxardo Triplum (Triple Sec),  Fresh Lemon Juice,  Egg White",Shake all ingredients with ice then strain into a chilled cocktail glass.,,
Toasted Drop," Citrus-flavored Vodka,  Luxardo Limoncello,  Luxardo Amaretto di Saschira, Fresh sweet n' sour,  Egg white",Shake all ingredients with ice then strain into a chilled cocktail glass.,,
The Windtalker," Hirsch Small Batch Reserve Bourbon,  Luxardo Amaretto di Saschira,  King's Ginger Liqueur,  Fresh lemon juice,  Egg white",Shake all ingredients with ice then strain over fresh ice into an old fashioned glass.,,
Arapa Cocktail," BarSol Supremo Moste Verde Italia Pisco,  Junipero Gin,  Luxardo Triplum (Triple Sec),  Lemon juice, Fee Bros. Rhubard Bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,,
Kay Pacha Mi Pacha," BarSol Supremo Moste Verde Italia Pisco,  No.3 London Dry Gin,  Luxardo Maraschino Liqueur,  Lemon juice, Angostura Orange Bitters",Shake all ingredients with ice. Double strain into a chilled Martini glass. Garnish with a Luxardo Maraschino cherry.,,
Creole Summer," Vanilla flavored Vodka,  Luxardo Limoncello, Fresh sweet n' sour,  Passion fruit puree,  Egg white, Green Tabasco",Shake all ingredients with ice. Strain into a chilled cocktail glass.,,
Pontchartrain Punch," Junipero Gin,  Fresh Lime Juice,  The Genuine Curacao Liqueur Blue,  Pages Elderflower Syrup",Shake all ingredients with lots of ice. Strain into serving glass. Top off with a splash of club soda.,Jazz Kitchen,New Orleans
Junipero Jolly," Junipero Gin,  Lemorton Pommeau de Normandie,  House-made Green Apple Purée*,  Lemon Juice,  Honey Syrup",Shake all ingredients. Serve over crushed ice in a collins glass. Garnish with a sage leaf.  *Substitute with Perfect Puree Green Apple flavor,The Treasury,San Francisco
Mayan Mule," King's Ginger Liqueur,  Ancho Reyes Chile Liqueur,  Montelobos Mezcal,  Aviation Gin,  Grapefruit Juice,  Lime Juice, Bittercube Bitters Jamaican #2, Fever-Tree Ginger Beer",Shake all ingredients. Strain and top with ginger beer. Give it a quick stir.   Tajin ground ginger and salt rim.,The Edison,Los Angeles
Assemble Mule," Monkey Shoulder Blended Scotch Whisky, King's Ginger Liqueur, Mezcal, Agave Syrup, Lime Juice, 4  Mint Leaves,  top Prosecco","Shake all the ingredients a part from the Prosecco. Double strain in an highball. Fill with crushed Ice. Top up with a touch of Prosecco.  Garnish with a mint sprig, a marshmallow on a stick, and a green and white striped paper straw.",,
Corpse Reviver No 1," H by HINE, Calvados, Tempus Fugit Alessio Vermouth Bianco",Shake all the ingredients over ice and strain into a chilled coupe glass. Garnish with an orange twist.,,
Solera Sidecar," H by HINE,  Lustau East India Solera,  Grand Marnier,  Luxardo Amaretto di Saschira,  Lemon Juice,  Simple Syrup","Shake all the ingredients with ice, then strain into a coupe. No garnish.",Death & Co.,New York
Flamenco," Lustau Amontillado Sherry, Bols Genever,  Orange Juice,  Lemon Juice,  Luxardo Orgeat Syrup, Angostura Bitters","Shake all the ingredients with ice, then strain into a coupe. No garnish.",Death & Co.,New York
Orchard Malt Mule," Glenrothes Vintage Reserve,  St. Elizabeth Allspice Dram, Apple Cider,  Belle Brillet,  Lemon, Angostura Bitters, Ginger Beer",Shake and 2x strain into a collins glass. Garnish with a lemon wheel and Luxardo Cherry.,,
#106 Cocktail," Chinaco Blanco Tequila, Luxardo Bitter Bianco,  Pear Syrup*,  Lemon Juice,  pinch Grey Sea Salt",Shake and double strain into a coupe. Garnish with sage.  *Pear Syrup: -- Pear -- Sage -- White Pepper -- Star Anise,Olive & Oak,St. Louis
Figge bout it," Westland American Single Malt,  Lustau Pedro Ximénez Sherry,  Lemon Juice,  Fig & Cinnamon Syrup, Angostura Bitters",Shake and double strain into double rocks glass. Garnish with torched cinnamon stick and Luxardo Cherry.,,
10 to 7," No. 209 Gin, Luxardo Maraschino Liqueur, St. Germain, Lemon Juice",Shake and serve up in a martini glass with lemon peel rind.,Farina,San Francisco
Frankie and Johnnie," King's Ginger Liqueur, C. Drouin Pommeau de Normandie,  Fresh lemon juice,  Fresh orange juice, Jerry Thomas Bitters",Shake and serve up.,,Austin
Flight to Peru," BarSol Selecto Italia Pisco, Fresh Grapefruit Juice,  Simple Syrup,  Luxardo Maraschino Liqueur, Chocolate Mole Bitters",Shake and serve up. Garnish elaborately with a Luxardo Cherry and a grapefruit peel.,Backbar,Somerville
Primo Carnera," Luxardo Sangue Morlacco Cherry Liqueur, Luxardo Triplum (Triple Sec), Luxardo Liquore St. Antonio","Shake and strain into a martini glass, spray some absinthe on the glass.",,
Floral Summer," No.3 London Dry Gin,  Honey syrup ,  Fresh lemon syrup ,   Tarragon leaves,   Lavender bitters ",Shake and strain into a martini glass.,ACME,New York
Daisy Mae," Junipero Gin, Lime Juice,  Green Chartreuse,  Simple Syrup",Shake and strain into a rocks glass. Garnish with a mint sprig.,Flatiron Lounge,New York
Neko Colada," Miso washed White Rhum Agricole, Cocchi Vermouth di Torino,  Falernum,  Coconut Cream,  Luxardo Amaretto di Saschira,  Lime,  Mandarin Orange",Shake and strain into a tiki cat filled with crushed ice.,Cherry Blossom PUB,Washington DC
Opaka Raka," Junipero Gin, Don's Mix*,  Lime Juice,  Simple Syrup, Bittermens 'Elemakule Tiki Bitters",Shake and strain into an ice-filled highball glass. Garnish with a lime wheel.  *Don's Mix: -- 2 parts Grapefruit Juice -- 1 part Cinnamon Syrup,,
Chingerito," BarSol Primero Quebranta Pisco, Grape juice, BarSol Perfecto Amor (Aperitif Wine), Fresh pomegranate juice,  Cinnamon syrup,  Fresh lime juice, 4  Grapes",Shake and strain into ice filled glass.,NEAT,Westport
Tokyo Tea," Nikka Coffey Grain Whisky, Yogurt Liquor,  Milk,  Golden Sesame Honey, Angostura Bitters, Matcha Tea",Shake and strain into rocks glass.,,
Knockemdown Key," English Harbour Rum,  Briottet Creme de Banane,  Luxardo Maraschino Liqueur,  Lime juice, Rich simple syrup",Shake and strain into small cocktail glass.,Bon Vivants,
Andy Warhol," No.3 London Dry Gin,  Tempus Fugit Alessio Vermouth Bianco, Fresh Squeezed Ruby Grapefruit,  Simple Syrup, 3 slices Cucumber, 1 fill Soda Water",Shake and strain over fresh ice into collins glass. Add soda. Garnish with basil. ,Land and Water Co.,
Ginger Drop," King's Ginger Liqueur, Momokawa Organic Junmai Ginjo Sake,  Lemon juice,  Simple syrup",Shake and strain up into cocktail glass.,,Los Angeles
Pants off Dance off," BarSol Perfecto Amor (Aperitif Wine),  Lime Juice, Junipero Gin,  Grenadine, Angostura Bitters, Bittermens Burlesque Bitters",Shake and top with Anchor Steam.,Biltong Bar,Atlanta
Gin n' Celery," Old Tom Gin,  Lemon Juice,  Small Hand Foods Gum Syrup, Celery Bitters, Tonic Water, 1 pinch Salt","Shake booze, juice and gum. Add bitters and salt to a double rocks glass then add ice. Strain cocktail, top with tonic. Garnish with bitter covered lemon peel.",ABV,San Francisco
“Prepare for Destiny! Where’s my Pizza?”," Green Hat Spring/Summer Gin,  Luxardo Maraschino Liqueur,  Lime,  Sugar Rich Simple, Celery Bitters, Fever-Tree Soda","Shake everything but soda water. Strain into a bamboo highball, add soda water, add ice, garnish with a basil leaf.",Cherry Blossom PUB,Washington DC
"Eat, Drink and Be Cherry"," Nikka Coffey Grain Whisky,  Luxardo Sangue Morlacco Cherry Liqueur,  Mendolera,  Cane Sugar,  Lemon, Fever-Tree Soda","Shake everything except for the soda water, strain into bamboo highball, add soda, add ice, garnish with 3 picked cherries.",Cherry Blossom PUB,Washington DC
Bird to Buck,"1 Pink Pigeon Rum, Benedictine, Orgeat syrup, Lime,  part Fee Brothers Whiskey Barrel Bitters",Shake fine and strain on crushed ice. Top with Strong Ginger Beer.,The Usual,Fort Worth
Palermo Breeze," Luxardo Bitter Bianco,  Velvet Falernum,  Lime,  Passion Fruit Syrup, Belstar Sparkling Rose",Shake first 4 ingredients and strain into collins. Top with pebble ice. Top with the rose. Garnish with a basil and a lime flower for aromatics.,Arthur Ave.,Houston
Nola '75," Junipero Gin,  Pages Elderflower Syrup,  Fresh Lemon Juice,  oz Champagne (Sparkling Wine)","Shake first three ingredients in an ice-filled cocktail shaker. Strain into a chilled serving glass. Top with chilled champagne, or sparkling wine.",Jazz Kitchen ,New Orleans
The Last Wish," Luxardo Amaro Abano, Luxardo Amaretto di Saschira, Espresso coffee, Vanilla ice cream",Shake first three ingredients with ice.  Strain over ice cream into prepared glass.,,
Aviation (Adapted)," No.3 London Dry Gin,  Luxardo Maraschino Liqueur,  Fresh Lemon Juice,  Tempus Fugit Liqueur de Violettes","Shake gin, maraschino, and lemon juice with ice then strain into a chilled cocktail glass. Use a bar spoon to float the violettes (which it will sink) into the bottom of the glass. Garnish with a lemon peel and a Luxardo Cherry on a pick.",,
Vesper's Sister," Van Gogh Blue Vodka, No.3 London Dry Gin,  Lillet Blanc,  St. Germain",Shake ingredients very well with ice and strain into a martini glass. Garnish with lemon and orange twists.,,
The French Connection," H by HINE, Fresh Lemon Juice, Demarara Simple Syrup, Apple Bitters",Shake ingredients with ice in shaker and then double strain into a couple glass. Top with champagne and garnish with lemon and apple slice.,Savor Gastropub,Dallas
Hanky Panky (Classic)," No.3 London Dry Gin, Tempus Fugit Alessio Vermouth di Torino Rosso, Luxardo Fernet",Shake ingredients with ice then strain into a chilled cocktail glass.,,
Pistachio Follies," Luxardo Amaro Abano, Aged Rum, Fresh cream(not whipped),  Pistachio syrup",Shake ingredients with ice then strain into a cocktail glass previously swirled with chocolate syrup and rimmed with ground pistachios.,,
Smoke On The Dock," Luxardo Fernet,  Mezcal, Fresh lime sweet n' sour mix, Pomegranate juice",Shake ingredients with ice then strain into a Collins glass.,,
Abano Sour," Luxardo Amaro Abano, Fresh Lemon Juice,  Agave Nectar, Grapefruit Bitters,  Egg White",Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,,
Singapore Sling (1915 Recipe)," No.3 London Dry Gin,  Luxardo Sangue Morlacco Cherry Liqueur,  Luxardo Triplum (Triple Sec),  Luxardo Fernet, Pineapple Juice,  Fresh Lime Juice, Bitters",Shake ingredients with ice then strain into an ice-filled collins or pilsner glass.,,
Windtalker," Hirsch Small Batch Reserve Bourbon,  Luxardo Amaretto di Saschira,  King's Ginger Liqueur,  Fresh Lemon Juice,  Egg White",Shake ingredients with ice until well combined. Strain into a chilled tumbler or large rocks glass over ice sphere or large ice cubes. Garnish with orange peel (or slice) and Luxardo Original Maraschino Cherries on a pick.,,
Stinger," Tempus Fugit Creme de Menthe Glaciale, H by HINE",Shake or stir briskly and strain into a cocktail glass.,,
The Great Pumpkin Cocktail," Pumpkin-Infused Glenrothes Vintage Reserve*, King's Ginger Liqueur,  Fresh Lemon Juice,  Grade-A Maple Syrup (prefer McClure's)","Shake over ice and strain into a chilled cocktail coupe. Garnish with a dash of cinnamon.  *Pumpkin-Infused Glenrothes Vintage Reserve: Peel, clean and cut small 2x2 in. pieces of sugar pumpkin. Salt very lightly and roast for about 20 mins. at 250°F. Put into a sealed container with scotch and let rest for 2 days. Strain off the pumpkin and re-bottle. Keep refrigerated.",The Hawthorne,Boston
Cherry Orchard," Luxardo Sangue Morlacco Cherry Liqueur,  Luxardo Maraschino Liqueur,  Laird's Straight Bonded , Clear Creek Kirschwasser Eau de Vie,  Lemon juice,  Grapefruit juice,  Simple syrup, Peychaud's Bitters",Shake over ice. Strain into a 6 oz. cocktail glass,Tooker Alley,New York
Slow Ride," Rittenhouse Straight Rye Whisky,  Pusser's Rum,  King's Ginger Liqueur, Basic House Lemonade*,  top Abita Big Easy IPA","Shake rye, rum, lemonade, and ginger liqueur. Strain over fresh ice in a copper mug. Top with Abita Big Easy IPA (or similar session IPA). Gently stir.  *Basic House Lemonade: -- 2 parts Water -- 1 part Sugar -- 1 part Lemon Juice",The Bend Liquor Lounge,Miami
Tropical Bronzer," Aged Rum, Luxardo Amaretto di Saschira, Passion fruit puree, Fresh lime sweet n' sour, Bitters, Coconut foam",Shake the first five ingredients with ice then strain over fresh ice into a Collins or Tiki glass. Top with coconut foam.,,
Padova Collins," Pear flavored Vodka,  Luxardo Limoncello,  Luxardo Sambuca dei Cesari, Fresh sweet n' sour mix, Lemon lime soda",Shake the first four ingredients with ice then strain into a tall glass filled with ice and top with lemon lime soda. Stir and serve.,,
Black Jam," Luxardo Fernet,  Honey syrup,  Fresh lemon juice, Tonic water","Shake the first three ingredients with ice then strain into a Collins glass and fill up with tonic water, stir and serve.",,
Americana Fizz (Layered Cocktail)," Junipero Gin,  Fresh Lemon Juice,  Simple Syrup,  The Genuine Curacao Liqueur Blue,  Luxardo Aperitivo,  splash Perrier Grapefruit","Shake the gin, lemon, and simple syrup ingredients together in a shaker to chill. Gently pour into a highball glass filled with ice and 3/4 oz Curacao Blue. Top the cocktail with 1/2 oz Luxardo Aperitivo. Add a splash of Perrier grapefruit and garnish with Luxardo Cherries and blueberries for color.",,
Dutch Stories," Genevieve Gin,  Luxardo Apricot Liqueur,  Luxardo Maraschino Liqueur,  Fresh lemon juice, 1 Tbsp Gooseberry Jam","Shake the ingredients with ice, then strain into a chilled cocktail glass.",,
Strike No.3," No.3 London Dry Gin,  St. Germaine Elderflower Liqueur,  Orgeat Syrup,  Fresh Lemon Juice",Shake the ingredients with ice. Strain into an old fashioned glass. Garnish with a Luxardo Cherry.,Bonneville,Austin
Final Ward," Rye Whiskey,  Green Chartreuse,  Luxardo Maraschino Liqueur,  Fresh Lemon Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,Cold-Glass.com,
Dernier Mot," Rhum Agricole,  Green Chartreuse,  Luxardo Maraschino Liqueur,  Fresh Lime Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,Cold-Glass.com,
The Asterisk," Brandy,  Green Chartreuse,  Luxardo Maraschino Liqueur,  Lemon Juice",Shake until very cold; double strain into a chilled cocktail glass. No garnish.,Cold-Glass.com,
Phineas Flip," English Harbour Rum,  King's Ginger Liqueur, 1 whole Egg",Shake vigorously. Strain into highball glass. Top with Ale. Grated nutmeg.,Jupiter Olympus,San Francisco
Luxardo Sling," Luxardo Sangue Morlacco Cherry Liqueur,  No.3 London Dry Gin,  Grapefruit Juice, 1 fill Soda water","Shake well in a shaker, serve in a tumbler filled with ice. Top with soda water.",,
White Lady," Junipero Gin,  Luxardo Triplum (Triple Sec),  Lemon Juice, 1  Egg White","Shake well with cracked ice, then strain into a chilled cocktail glass.",,
